zip5	dorminant_race	dorminant_income	parents_with_children
01033	white	inc_100k_150k	0.3823870220162225
01034	white	inc_100k_150k	0.34231378763866877
01035	white	inc_25k_50k	0.2646860229574612
01036	white	inc_100k_150k	0.3061084420041181
01037	white	inc_50k_75k	0.41578947368421054
01038	white	inc_25k_50k	0.35609103078982596
01039	white	inc_25k	0.32894736842105265
01040	hispanic	inc_25k	0.4727176220806794
01050	white	inc_25k_50k	0.33974358974358976
01053	white	inc_25k_50k	0.406
01054	white	inc_100k_150k	0.33503401360544216
01056	white	inc_50k_75k	0.351934391157069
01057	white	inc_100k_150k	0.3776194467728416
01060	white	inc_25k	0.41997812613926355
01062	white	inc_25k_50k	0.4438133874239351
01063	white	inc_25k	0.5
01066	white	inc_25k_50k	0.52
01068	white	inc_100k_150k	0.3157894736842105
01069	white	inc_25k_50k	0.3469682386910491
01070	white	inc_25k_50k	0.3176470588235294
01071	white	inc_75k_100k	0.35732647814910024
01072	white	inc_100k_150k	0.37662337662337664
01073	white	inc_100k_150k	0.3341303048416019
01074	white	inc_75k_100k	0.7386363636363636
01075	white	inc_25k_50k	0.32788104089219333
01077	white	inc_25k_50k	0.3229357798165138
01079	white	inc_25k	0.4
01080	white	inc_25k	0.41223832528180354
01081	white	inc_25k	0.44424778761061945
01082	white	inc_25k_50k	0.41423487544483983
01083	white	inc_25k	0.4951219512195122
01084	white	inc_25k_50k	0.35555555555555557
01085	white	inc_25k_50k	0.37846704443781687
01088	white	inc_25k_50k	0.49624060150375937
01089	white	inc_25k_50k	0.4465380589202931
01092	white	inc_100k_150k	0.4014962593516209
01093	white	inc_50k_75k	0.3181818181818182
01095	white	inc_100k_150k	0.3828996282527881
01096	white	inc_100k_150k	0.341645885286783
01097	white	inc_25k_50k	0.3076923076923077
01098	white	inc_100k_150k	0.2639751552795031
01103	hispanic	inc_25k	0.48148148148148145
01104	hispanic	inc_25k	0.534540934114722
01105	hispanic	inc_25k	0.5751337999176616
01106	white	inc_100k_150k	0.4421412300683371
01107	hispanic	inc_25k	0.5294582839066825
01108	hispanic	inc_25k	0.5292765174739423
01109	hispanic	inc_25k	0.47848509266720385
01115	hispanic	inc_25k	""
01118	white	inc_50k_75k	0.4353146853146853
01119	white	inc_25k	0.4269278606965174
01128	white	inc_50k_75k	0.35175202156334234
01129	white	inc_50k_75k	0.32101372756071805
01144	hispanic	inc_25k	""
01151	white	inc_25k_50k	0.5
01199	hispanic	inc_25k	""
01201	white	inc_25k	0.403525782282944
01220	white	inc_25k_50k	0.36830256641152637
01222	white	inc_100k_150k	0.23318385650224216
01223	white	inc_100k_150k	0.25268817204301075
01224	white	inc_75k_100k	0.36363636363636365
01225	white	inc_75k_100k	0.23359840954274355
01226	white	inc_25k_50k	0.3528428093645485
01230	white	inc_25k_50k	0.33241505968778695
01235	white	inc_50k_75k	0.3493064312736444
01236	white	inc_25k_50k	0.2826086956521739
01237	white	inc_75k_100k	0.3486646884272997
01238	white	inc_100k_150k	0.3740665308893415
01240	white	inc_25k_50k	0.24200518582541056
01242	white	inc_100k_150k	0.32
01243	white	inc_100k_150k	0.2625
01244	white	inc_25k_50k	0.23529411764705882
01245	white	inc_25k_50k	0.23214285714285715
01247	white	inc_25k	0.344203891477117
01253	white	inc_100k_150k	0.15625
01254	white	inc_100k_150k	0.2693409742120344
01255	white	inc_50k_75k	0.2815126050420168
01256	white	inc_25k_50k	0.2798165137614679
01257	white	inc_25k_50k	0.291044776119403
01258	white	inc_50k_75k	0.2638888888888889
01259	white	inc_25k_50k	0.2345679012345679
01260	white	inc_100k_150k	0.3958333333333333
01262	white	inc_25k	0.2430379746835443
